Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
CWN,Crown Resorts Limited,Consumer Discretionary,"8,092,040,000",0.46,,,
CSL,CSL Limited,Health Care,"88,201,300,000",5,,,
CSR,CSR Limited,Materials,"1,472,580,000",0.08,,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"2,960,700,000",0.17,,,
DCN,Dacian Gold Limited,Materials,"586,075,000",0.03,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"11,677,400,000",0.66,,,
DHG,Domain Holdings Aus,Information Technology,"1,398,990,000",0.08,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"3,891,940,000",0.22,,,
DOW,Downer Edi Limited,Industrials,"4,252,120,000",0.24,,,
DLX,Duluxgroup Limited,Materials,"2,666,360,000",0.15,,,
ECX,Eclipx Group Limited,Financials,"712,790,000",0.04,,,
ELD,Elders Limited,Consumer Staples,"730,776,000",0.04,,,
EHL,Emeco Holdings,Industrials,"730,460,000",0.04,,,
EML,EML Payments Limited,Information Technology,"359,042,000",0.02,,,
EPW,Erm Power Limited,Utilities,"385,152,000",0.02,,,
EHE,Estia Health Limited,Health Care,"609,810,000",0.03,,,
EVN,Evolution Mining Limited,Materials,"6,805,250,000",0.39,,,
FAR,FAR Limited,Energy,"316,769,000",0.02,,,
A2M,The a2 Milk Company,Consumer Staples,"8,858,230,000",0.5,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"4,044,870,000",0.23,,,
FLT,Flight Centre Travel,Consumer Discretionary,"4,349,830,000",0.25,,,
FMG,Fortescue Metals Group,Materials,"17,396,200,000",0.99,,,
FNP,Freedom Food Limited,Consumer Staples,"1,241,510,000",0.07,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"6,872,290,000",0.39,,,
FXL,Flexigroup Limited,Financials,"492,174,000",0.03,,,
GDI,GDI Property Group FP Ordinary/Units Stapled Securities,Real Estate,"733,828,000",0.04,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,443,550,000",0.08,,,
GMA,Genworth Mortgage,Financials,"971,172,000",0.06,,,
GMG,Goodman Group FP Ordinary/Units Stapled Securities,Real Estate,"21,149,900,000",1.2,,,
GNC,Graincorp Limited Class A,Consumer Staples,"2,174,130,000",0.12,,,
GOR,Gold Road Res Limited,Materials,"675,674,000",0.04,,,
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,"2,780,000,000",0.16,,,
